league,season,team,players_used,Age,Poss,Goals,Assist,G+A,NPG,PK Gls,PK Att,Yellow Cards,Red Cards,xG,npxG,xAG,npxG+xAG,Prg Carries,Prg Passes,Shots,Shots on Target,SoT%,Goals per Shots,Goals per SoT,Avg Shot Dist,FK Shots,npxG/Shot,G-xG,G-npxG,Passes Completed,Passes Attempted,Pass Completion%,Avg Pass Distance,Avg Prg Pass Distance,Short Pass Cmp,Shot Pass Att,Short Pass Cmp%,Medium Pass Cmp,Medium Pass Att,Medium Pass Cmp%,Long Pass Cmp,Long Pass Att,Long Pass Cmp%,xA,A-xAG,Key Passes,Final Third Pass,Pass into Pen Area,Cross into Pen Area,Open Play Pass,Dead Ball Pass,FK Pass,Through Balls,Switches,Throw-Ins,Corner Kicks,Inswing Corner,Outswing Corner,Straight Corner,Blocked Passes,SCA,SCA Open Play,SCA Dead Ball,SCA Take-Ons,Shots SCA,Fouled SCA,Defensive SCA,GCA,GCA Open Play,GCA Dead Ball,GCA Take-Ons,Shots GCA,Fouled GCA,Defensive GCA,Tackles,Tackles Won,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Dribble Stops,Total Challenges,Challenges Won%,Challenges Lost,Blocks,Shot Blocks,Interceptions,Tackle+Interceptions,Clearances,Errors,Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches in Box,Open Play Touches,Take-Ons Attempted,Take-Ons Successfull,Take-Ons Success%,Take-Ons Tackled,Take-Ons Tackled%,Carries,Avg Carry Dist,Avg Prg Carry Dist,Carries into Final Third,Carries into Pen Area,Miscontrols,Dispossessed,Passes Received,Progressive Receives,Min per Sub,Pts pMatch,Goals Allowed,Goal Difference,xG Allowed,xG Difference,Fouls,Fouled,Offside,Crosses,Pen Conceded,Own Goals,Recoveries,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Shots on Target Allowed,Saves,Save%,W,D,L,Clean Sheet,Clean Sheet%,Penalty Saves,Penalty Save%,FK Goals,Corner Goals,Pass Attempts(GK),Throws,Passes Launch%,Passes AvgLen,Goal Kicks Attempted,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Faced,Crosses Stopped,Cross Stop%,OPA,OPA Avg Dist
GER-Bundesliga,2425,Union Berlin,28,27.2,40,36,25,61,33,3,3,72,1,37,34.7,23.5,58.2,390,1049,414,120,29,0.08,0.28,16.6,7,0.08,-1,-1.7,9960,13705,72.7,17.954116465863454,71.44137273593898,4467,5296,84.3,3994,4998,79.9,1156,2400,48.2,31.6,1.5,292,792,239,75,12135,1503,353,16,53,655,152,66,71,4,335,709,485,96,28,51,41,8,62,37,8,4,7,5,1,537,318,266,223,48,270,507,53.3,237,409,110,312,849,1046,13,17834,2167,6285,7721,3997,688,17831,420,172,41,214,51,8875,4.780507042253521,51.97179487179487,252,107,472,286,9874,1032,22,1.18,51,-16,47.8,-10.7,419,313,67,608,6,1,1368,656,676,49.2,139,86,65.5,10,11,13,8,23.5,4,66.7,1,1,842,161,36.7,31,259,61.4,45.6,568,40,7,39,14.2
GER-Bundesliga,2425,Werder Bremen,23,27.5,50,53,38,91,50,3,5,75,4,49.1,45.7,37.4,83.1,495,1351,424,138,32.5,0.12,0.36,16,12,0.11,3.9,4.3,13999,17550,79.8,17.86127580541467,67.66765358993338,5827,6663,87.5,6247,7263,86,1455,2530,57.5,44,0.6,327,954,335,91,15860,1618,468,57,87,660,161,63,77,1,355,772,584,64,26,49,39,10,94,75,4,1,6,6,2,551,321,245,240,66,276,521,53,245,454,144,315,866,851,27,21493,2477,7701,9226,4721,818,21488,477,195,40.9,240,50.3,12439,4.669105233539674,56.03030303030303,347,126,493,256,13899,1343,17,1.5,57,-3,48.1,1,335,402,72,667,3,3,1453,473,470,50.2,156,102,65.4,14,9,11,10,29.4,0,0,2,4,1072,188,31.1,31.9,239,15.5,21.6,464,35,7.5,34,13.5
GER-Bundesliga,2425,Wolfsburg,27,25.2,46.1,53,38,91,49,4,5,75,3,47.5,43.4,33,76.4,489,1205,432,137,31.7,0.11,0.36,17.3,13,0.1,5.5,5.6,11590,15088,76.8,18.904227782571184,68.12780082987553,4735,5598,84.6,5178,6041,85.7,1421,2665,53.3,36.5,5,316,999,247,53,13434,1605,424,46,120,644,165,99,63,1,336,754,528,80,35,54,45,12,95,57,11,5,11,9,2,491,301,257,175,59,246,540,45.6,294,435,133,312,803,977,19,19121,2295,6603,8190,4491,725,19116,514,209,40.7,268,52.1,10180,4.8275049115913555,47.88752556237219,338,131,504,215,11456,1196,19,1.26,54,2,52.5,-5.1,350,366,49,574,3,1,1344,519,562,48,160,106,67.5,11,10,13,6,17.6,1,33.3,0,11,1066,143,44.2,36.6,285,48.1,38.9,512,24,4.7,22,11.7
ITA-Serie A,2425,Atalanta,32,27.1,55.3,76,54,130,71,5,7,67,1,65,59.5,46.9,106.4,897,1824,538,181,33.6,0.13,0.39,15,5,0.11,11,11.5,17454,20998,83.1,17.467514609831557,53.55701754385965,7796,8669,89.9,7832,8892,88.1,1506,2528,59.6,46.4,7.1,425,1382,395,113,19273,1671,455,48,117,714,194,85,75,1,326,966,736,75,51,71,22,11,131,105,5,4,13,4,0,571,347,238,260,73,272,506,53.8,234,360,98,296,867,679,16,25020,2035,6907,11325,7007,1076,25013,645,257,39.8,330,51.2,15076,5.339811621119661,46.894091415830545,696,254,574,362,17329,1808,24,1.95,37,41,38.6,26.4,435,393,54,778,2,2,1732,585,490,54.4,147,112,76.2,22,8,8,15,39.5,0,0,0,4,980,193,27.6,27.6,233,61.4,47.5,363,21,5.8,56,23.1
ITA-Serie A,2425,Bologna,30,26.4,58.1,56,43,99,50,6,7,61,4,49.3,43.8,35.2,79,639,1468,505,166,32.9,0.1,0.3,17.5,18,0.09,6.7,6.2,15681,19336,81.1,18.86799311268414,66.54359673024523,6113,6881,88.8,7530,8561,88,1765,3072,57.5,30.7,7.8,384,1351,293,109,17378,1895,663,42,138,771,191,57,93,0,307,913,666,84,39,53,51,20,103,78,3,3,9,7,3,591,346,215,270,106,283,538,52.6,255,390,93,258,849,679,20,23304,2070,6703,10984,5817,831,23297,555,221,39.8,266,47.9,13684,5.187956737795966,52.375586854460096,422,167,598,361,15512,1457,21,1.63,47,10,36.7,12.6,537,604,63,756,3,2,1516,579,616,48.5,106,60,57.5,16,14,8,12,31.6,1,33.3,0,3,1386,158,28.6,31.6,187,37.4,35.6,312,29,9.3,32,13
ITA-Serie A,2425,Cagliari,28,26.6,44.9,38,31,69,35,3,3,68,3,42.7,40.3,32,72.4,506,1150,421,115,27.3,0.08,0.3,16,10,0.1,-4.7,-5.3,12092,15802,76.5,18.120575587165067,77.38608695652174,5258,6076,86.5,5403,6411,84.3,1218,2515,48.4,29.3,-1,301,907,234,89,13897,1840,481,25,60,749,181,38,135,0,334,748,516,88,36,66,34,8,71,54,4,2,5,5,1,538,303,264,224,50,238,449,53,211,343,131,276,814,887,18,19802,2531,7637,8203,4166,645,19799,552,228,41.3,274,49.6,10679,4.962824234478884,51.191699604743086,339,115,585,294,11974,1140,22,0.95,56,-16,55.3,-12.6,500,397,65,758,6,0,1522,606,600,50.2,153,97,67.3,9,9,20,7,18.4,0,0,0,10,999,165,42.9,32.2,336,50,40.7,540,28,5.2,36,11.1
ITA-Serie A,2425,Como,38,26.3,54.6,44,39,83,44,0,2,87,7,45.4,43.9,36.6,80.5,658,1377,519,176,33.9,0.08,0.25,17.9,17,0.09,-1.4,0.1,15917,19183,83,16.845699566501224,69.08787218591141,7607,8351,91.1,6561,7392,88.8,1286,2359,54.5,30.8,2.4,405,1150,279,60,17335,1783,597,52,93,726,167,41,70,0,358,920,673,84,44,66,40,13,79,66,2,5,3,1,2,663,412,301,260,102,303,591,51.3,288,348,91,279,942,788,19,23246,2359,7668,10461,5315,791,23244,622,264,42.4,288,46.3,14108,5.009781684150837,53.38601823708207,463,202,577,360,15729,1371,18,1.29,52,-3,43,2.4,503,518,65,568,7,0,1547,472,487,49.2,143,91,68.5,13,10,15,7,18.4,0,0,0,7,1164,163,32,31.9,205,16.1,21.3,433,29,6.7,65,12.5
ITA-Serie A,2425,Empoli,34,25.4,41.7,31,21,52,29,2,3,68,5,32.5,30.1,22.9,53.1,428,1013,367,107,29.2,0.08,0.27,19.1,21,0.08,-1.5,-1.1,10093,13916,72.5,18.50203111067076,73.77492596248766,4015,4844,82.9,4558,5549,82.1,1180,2624,45,19.4,-1.9,269,799,214,71,11976,1883,502,34,71,786,170,63,60,1,312,638,452,53,41,35,39,18,51,35,4,5,4,2,1,689,396,314,293,82,309,543,56.9,234,396,136,323,1012,1072,21,18255,2279,6509,8088,3861,562,18252,505,212,42,238,47.1,8486,5.119608767381569,47.93925234,284,102,594,349,9986,1004,19,0.82,59,-26,50.1,-17.6,570,459,57,620,3,1,1480,577,710,44.8,158,99,63.3,6,13,19,6,15.8,1,50,0,7,944,125,58.3,33.8,328,31.7,28.6,556,37,6.7,20,26
ITA-Serie A,2425,Fiorentina,34,26.3,51,58,39,97,52,6,8,82,3,48.9,42.6,35.1,77.7,620,1240,439,166,37.8,0.12,0.31,18,20,0.1,9.1,9.4,14193,17510,81.1,18.470231804410624,74.16935483870968,5771,6478,89.1,6566,7504,87.5,1565,2733,57.3,27.4,3.9,336,984,244,74,15677,1745,600,27,99,626,148,66,40,1,283,799,579,59,51,50,45,15,100,65,8,9,10,8,0,531,313,267,195,69,248,488,50.8,240,353,123,275,806,911,17,21431,2419,7306,9857,4479,671,21423,600,270,45,254,42.3,12538,5.32740469,52.061290322580646,479,164,535,306,14051,1226,21,1.71,41,19,42.8,6.1,440,550,88,588,3,1,1436,508,487,51.1,148,106,73,19,8,11,12,31.6,2,66.7,0,3,923,143,40.8,28.8,293,47.1,39.2,498,14,2.8,31,17
ITA-Serie A,2425,Genoa,37,26.2,45.6,35,27,62,35,0,2,71,1,37.2,35.5,26.8,62.3,470,980,383,117,30.5,0.09,0.3,17.7,16,0.09,-2.2,-0.5,12025,15727,76.5,18.382286902286904,83.66428571428571,4811,5621,85.6,5664,6683,84.8,1243,2515,49.4,22.6,0.2,285,737,201,78,13887,1785,514,42,57,716,155,58,83,0,330,657,455,80,22,45,44,11,61,45,7,1,6,2,0,672,385,281,287,104,283,566,50,283,422,126,308,980,938,15,20080,2523,7477,8829,3958,644,20078,505,187,37,260,51.5,10006,5.285528682790326,54.193617021276594,343,112,593,289,11902,967,22,1.13,49,-12,47.2,-10,497,448,55,663,8,3,1481,666,696,48.9,158,110,72.8,10,13,15,11,28.9,2,25,0,5,960,142,37.2,42.3,314,47.5,39.7,527,24,4.6,17,3.3
