league,season,team,players_used,Age,Poss,Goals,Assist,G+A,NPG,PK Gls,PK Att,Yellow Cards,Red Cards,xG,npxG,xAG,npxG+xAG,Prg Carries,Prg Passes,Shots,Shots on Target,SoT%,Goals per Shots,Goals per SoT,Avg Shot Dist,FK Shots,npxG/Shot,G-xG,G-npxG,Passes Completed,Passes Attempted,Pass Completion%,Avg Pass Distance,Avg Prg Pass Distance,Short Pass Cmp,Shot Pass Att,Short Pass Cmp%,Medium Pass Cmp,Medium Pass Att,Medium Pass Cmp%,Long Pass Cmp,Long Pass Att,Long Pass Cmp%,xA,A-xAG,Key Passes,Final Third Pass,Pass into Pen Area,Cross into Pen Area,Open Play Pass,Dead Ball Pass,FK Pass,Through Balls,Switches,Throw-Ins,Corner Kicks,Inswing Corner,Outswing Corner,Straight Corner,Blocked Passes,SCA,SCA Open Play,SCA Dead Ball,SCA Take-Ons,Shots SCA,Fouled SCA,Defensive SCA,GCA,GCA Open Play,GCA Dead Ball,GCA Take-Ons,Shots GCA,Fouled GCA,Defensive GCA,Tackles,Tackles Won,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Dribble Stops,Total Challenges,Challenges Won%,Challenges Lost,Blocks,Shot Blocks,Interceptions,Tackle+Interceptions,Clearances,Errors,Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches in Box,Open Play Touches,Take-Ons Attempted,Take-Ons Successfull,Take-Ons Success%,Take-Ons Tackled,Take-Ons Tackled%,Carries,Avg Carry Dist,Avg Prg Carry Dist,Carries into Final Third,Carries into Pen Area,Miscontrols,Dispossessed,Passes Received,Progressive Receives,Min per Sub,Pts pMatch,Goals Allowed,Goal Difference,xG Allowed,xG Difference,Fouls,Fouled,Offside,Crosses,Pen Conceded,Own Goals,Recoveries,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Shots on Target Allowed,Saves,Save%,W,D,L,Clean Sheet,Clean Sheet%,Penalty Saves,Penalty Save%,FK Goals,Corner Goals,Pass Attempts(GK),Throws,Passes Launch%,Passes AvgLen,Goal Kicks Attempted,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Faced,Crosses Stopped,Cross Stop%,OPA,OPA Avg Dist
ITA-Serie A,2425,Hellas Verona,32,25.1,38.7,31,20,51,29,2,2,98,9,33.8,32.3,24.8,57.1,449,1011,372,95,25.5,0.08,0.31,17.7,12,0.09,-2.8,-3.3,9854,13457,73.2,18.13385427,68.78338278931751,4411,5150,85.7,4092,4944,82.8,1079,2569,42,20.6,-4.8,276,824,189,61,11789,1613,403,28,91,641,152,68,64,1,283,640,459,66,31,40,31,13,48,29,5,3,6,3,2,672,434,326,271,75,311,592,52.5,281,393,123,329,1001,987,23,17659,2055,5973,8025,3869,532,17657,508,228,44.9,233,45.9,8757,5.388831792,49.44988864142539,338,100,533,254,9765,998,23,0.97,66,-32,53.4,-19.6,579,352,55,562,4,1,1427,671,699,49,172,106,62.8,10,7,21,8,21.1,1,33.3,0,6,793,93,60.9,55.4,313,88.8,59.3,544,32,5.9,26,20.3
ITA-Serie A,2425,Inter,26,29.4,59.4,76,57,133,68,8,9,56,1,66.9,60.1,48.3,108.5,694,1730,565,179,31.7,0.12,0.38,16.3,17,0.11,9.1,7.9,19412,22592,85.9,17.712497424273646,62.342196531791906,8329,9108,91.4,8987,9926,90.5,1751,2661,65.8,49,8.7,434,1353,410,119,20929,1573,442,86,132,635,221,58,125,1,299,1028,781,97,31,62,42,15,133,99,10,5,10,8,1,505,288,215,198,92,239,452,52.9,213,356,126,227,732,676,11,26215,2510,7834,12203,6361,1048,26206,407,158,38.8,199,48.9,16253,5.036424044791731,58.96397694524496,566,155,423,242,19251,1717,22,2.13,35,44,36.4,30.5,417,405,90,751,4,1,1440,604,419,59,130,95,75.4,24,9,5,16,42.1,1,25,0,3,1364,151,17.7,28.6,202,17.8,25.4,437,17,3.9,17,15.8
ITA-Serie A,2425,Juventus,29,24.6,57.2,56,40,96,50,6,6,67,3,51,46.3,35.9,82.2,810,1561,509,175,34.4,0.1,0.29,17.3,11,0.09,5,3.7,18259,21231,86,17.306533764171093,63.27226137091608,8378,9109,92,8078,8869,91.1,1473,2432,60.6,33.2,4.1,393,1390,305,67,19605,1574,411,48,101,664,190,92,68,0,283,908,690,60,55,58,31,14,94,69,5,8,7,3,2,606,353,273,245,88,263,471,55.8,208,404,139,215,821,723,27,25202,2320,7729,11766,5913,856,25196,658,309,47,300,45.6,15347,5.662083794878478,55.72839506172839,558,216,568,293,18089,1548,20,1.84,35,23,34,16.9,480,378,52,630,5,0,1516,458,461,49.8,119,84,74.8,18,16,4,17,44.7,0,0,0,6,939,156,31.1,29.4,237,35.9,32.2,519,32,6.2,33,14
ITA-Serie A,2425,Lazio,27,27.1,55.1,60,43,103,54,6,7,93,7,57.2,52,38.5,90.4,774,1588,528,185,35,0.1,0.29,17.7,13,0.1,2.8,2,16400,19521,84,18.073719512195122,60.81171285,6959,7646,91,7447,8298,89.7,1670,2729,61.2,34.7,4.5,403,1374,323,102,17715,1760,522,72,118,670,229,123,57,0,288,954,712,67,49,76,32,18,103,76,4,7,10,5,1,520,319,234,224,62,251,501,50.1,250,313,90,295,815,718,23,23200,2262,6760,11033,5654,928,23193,628,296,47.1,266,42.4,13530,5.671175166297117,51.44832041343669,587,189,469,310,16281,1580,22,1.71,49,12,37.7,19.5,425,484,46,864,4,2,1439,473,491,49.1,119,72,62.2,18,11,9,9,23.7,0,0,0,4,1196,132,35.4,35.9,252,29.8,28.4,496,49,9.9,54,16.8
ITA-Serie A,2425,Lecce,31,26.1,43.8,27,21,48,24,3,4,61,7,34.6,31.8,24.5,56.3,519,1071,450,119,26.4,0.05,0.2,19.3,22,0.07,-7.6,-7.8,11490,15087,76.2,18.750478677110532,76.39869281045752,4757,5501,86.5,5029,5971,84.2,1465,2862,51.2,20.5,-3.5,322,852,222,93,13201,1834,507,36,84,754,165,64,78,0,301,777,547,77,38,45,50,20,47,36,3,1,4,3,0,627,372,315,250,62,301,584,51.5,283,407,144,285,912,1042,26,19445,2594,7211,8380,4085,605,19441,547,237,43.3,248,45.3,9704,5.417559769167354,49.113680154142585,349,121,572,290,11350,1062,24,0.89,58,-31,57.1,-22.5,466,427,52,628,10,3,1484,676,651,50.9,181,125,72.4,8,10,20,9,23.7,1,11.1,3,5,883,120,59.7,39.1,312,41.3,32.3,590,29,4.9,19,11
ITA-Serie A,2425,Milan,35,25.6,53.9,59,43,102,55,4,8,70,6,63.7,57.5,46.8,104.4,915,1589,555,185,33.3,0.1,0.3,17.9,8,0.11,-4.7,-2.5,16335,19101,85.5,17.783654729109273,61.12901195720579,6939,7660,90.6,7732,8519,90.8,1389,2238,62.1,39.3,-3.8,442,1198,342,77,17400,1641,524,90,85,544,217,134,18,0,248,1011,749,70,72,62,39,19,107,69,7,6,14,8,3,552,349,249,222,81,246,480,51.3,234,292,95,234,786,691,21,22849,2115,7299,10263,5518,966,22841,721,343,47.6,309,42.9,14001,5.745232483394044,48.19234972677596,648,269,513,288,16145,1572,22,1.66,43,18,41.3,22.4,415,428,60,634,2,3,1397,434,391,52.6,142,101,70.4,18,9,11,13,34.2,1,50,1,3,1334,182,18.4,27.8,275,26.5,31,462,27,5.8,71,25.5
ITA-Serie A,2425,Monza,36,26.8,48.5,27,18,45,24,3,3,90,3,29.9,27.7,20.9,48.6,533,1096,333,99,29.7,0.07,0.24,18.3,17,0.09,-2.9,-3.7,14248,17515,81.3,18.05818360471645,79.76916058394161,5982,6697,89.3,6561,7422,88.4,1412,2561,55.1,18.2,-2.9,245,895,196,72,15688,1773,575,30,78,623,136,41,75,0,296,588,437,56,25,34,31,5,43,32,3,1,6,0,1,562,315,304,202,56,272,501,54.3,229,382,157,305,867,874,38,21338,2852,8271,9181,4056,480,21335,507,220,43.4,227,44.8,12954,5.038134939014976,59.371482176360225,413,89,510,334,14106,1081,20,0.47,69,-41,54.7,-24.8,512,529,54,656,4,3,1299,567,605,48.4,183,115,63.4,3,9,26,3,7.9,2,50,2,10,1069,157,42.5,33.7,333,30.9,28.3,534,26,4.9,33,13.3
ITA-Serie A,2425,Napoli,27,28.6,54.6,56,42,98,52,4,5,47,0,52.9,49.1,39.1,88.2,739,1546,499,150,30.1,0.1,0.35,16.2,11,0.1,3.1,2.9,16894,20033,84.3,17.753225997395525,63.77554980595084,7296,8074,90.4,7665,8530,89.9,1582,2497,63.4,35.4,2.9,391,1235,318,76,18236,1742,487,48,88,721,209,137,43,2,340,882,672,70,39,61,28,12,100,75,4,7,6,7,1,535,323,237,238,60,258,469,55,211,317,100,270,805,813,11,23892,2258,7471,11310,5295,869,23887,611,244,39.9,286,46.8,13244,5.247055270311084,47.85520974,443,207,473,326,16735,1530,14,2.16,27,32,29.6,23.3,415,445,55,681,4,2,1435,530,460,53.5,96,69,72.9,24,10,4,19,50,2,66.7,1,0,1103,131,17,29.3,260,24.6,29.6,438,25,5.7,50,7
ITA-Serie A,2425,Parma,32,23.8,44.2,43,31,74,37,6,7,78,6,43.1,37.6,29.3,66.9,578,1059,418,140,33.5,0.09,0.26,19.3,22,0.09,-0.1,-0.6,12509,15805,79.1,18.176592853145735,80.25967894,5238,5993,87.4,5643,6511,86.7,1289,2504,51.5,24.5,1.7,316,890,217,59,14017,1757,568,43,75,602,168,55,33,1,247,749,542,61,49,37,45,15,73,47,6,7,6,5,2,523,293,267,201,55,242,484,50,242,434,153,279,802,977,21,19903,2706,7204,8455,4468,655,19896,587,249,42.4,276,47,11305,5.135603715170278,51.35640138408304,416,168,548,297,12339,1049,26,0.95,58,-14,56.4,-13.3,405,458,31,427,5,2,1365,499,502,49.9,158,102,66.5,7,15,16,7,18.4,0,0,3,6,1237,190,44.4,33.9,322,46,40,643,67,10.4,40,16.3
ITA-Serie A,2425,Roma,28,26.5,53.9,55,35,90,47,8,8,66,1,53,46.7,35,81.7,691,1501,514,162,31.5,0.09,0.29,17.9,15,0.09,2,0.3,17016,20265,84,17.641220028208746,64.41372418387742,7364,8133,90.5,7726,8590,89.9,1535,2676,57.4,32.8,0,391,1302,314,81,18489,1717,525,50,93,687,170,74,65,2,287,934,695,81,34,67,47,10,95,67,3,4,11,8,2,551,328,233,236,82,224,439,51,215,329,110,282,833,746,16,24126,2375,7151,11355,5819,861,24118,563,210,37.3,266,47.2,14077,5.155075655324288,52.18234442836469,579,162,545,283,16857,1488,21,1.82,35,21,40.9,12.1,405,484,59,636,4,1,1437,441,476,48.1,151,117,79.5,20,9,9,16,42.1,0,0,0,4,1195,170,25.1,30.6,263,43,37.3,495,30,6.1,33,13.7
ITA-Serie A,2425,Torino,31,26.7,47.5,36,21,57,34,2,4,80,3,34.6,31.6,22.5,54,529,1113,383,123,32.1,0.09,0.28,18.6,12,0.08,1.4,2.4,13578,17008,79.8,18.38098394461629,77.49236298292902,5650,6464,87.4,6225,7103,87.6,1445,2696,53.6,25.9,-1.5,276,980,250,86,15278,1673,443,26,83,676,158,95,51,0,274,663,500,52,24,48,29,10,58,38,6,4,5,4,1,468,261,217,181,70,232,437,53.1,205,338,133,278,746,882,21,20697,2400,6911,9482,4475,605,20693,452,169,37.4,236,52.2,12098,5.191105967928583,58.8241966,389,107,490,272,13424,1103,21,1.16,45,-6,50.4,-15.8,483,386,57,675,7,2,1296,538,564,48.8,180,133,76.7,10,14,14,10,26.3,4,57.1,1,7,1342,196,41,31,313,52.4,46.2,597,37,6.2,51,27.3
ITA-Serie A,2425,Udinese,31,26.4,47.2,41,28,69,39,2,4,88,5,38.2,35,27.2,62.1,566,1160,430,137,31.9,0.09,0.28,17.7,15,0.08,2.8,4,12945,16279,79.5,18.48512939358826,71.10344827586206,5322,6027,88.3,5751,6676,86.1,1552,2764,56.2,24.8,0.8,313,969,242,103,14543,1686,465,25,92,683,178,64,73,2,269,757,557,67,31,52,31,19,61,33,4,5,14,3,2,562,346,276,217,69,279,508,54.9,229,396,139,302,864,909,27,20351,2410,6993,9142,4451,694,20347,623,281,45.1,294,47.2,11222,5.4527713420067725,52.84452296819788,424,127,558,295,12776,1140,21,1.16,56,-15,52.6,-14.4,543,379,50,679,8,5,1426,550,493,52.7,164,113,70.1,12,8,18,9,23.7,0,0,3,8,1021,108,34.3,30.5,266,36.5,31.7,528,19,3.6,36,15
ITA-Serie A,2425,Venezia,36,25.4,45.1,31,16,47,27,4,5,75,2,35.8,32,22.2,54.2,507,1066,381,120,31.5,0.07,0.23,18.5,25,0.09,-4.8,-5,11573,15155,76.4,17.432990581525967,72.97467166979362,5144,5977,86.1,5103,6078,84,1002,2218,45.2,22.3,-6.2,282,813,215,58,13224,1873,526,35,87,769,142,60,46,0,301,685,491,67,37,36,45,9,49,26,5,3,8,7,0,605,361,319,202,84,286,572,50,286,439,145,279,884,921,25,19451,2614,7044,8341,4288,633,19445,601,248,41.3,290,48.3,10476,5.388984345169912,55.73175542406312,383,124,621,398,11442,1057,19,0.76,56,-24,57.5,-21.7,503,451,58,529,11,3,1450,490,626,43.9,188,134,75.5,5,14,19,6,15.8,1,9.1,0,8,1014,158,41.9,31,342,27.8,27.3,589,31,5.3,21,9.4
